Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
304.5332945,X1-1,X2-2,X3-1,X4-1,X5-6,0.103285991,73,73,50,18.24,10.74,1.06,28,72,27,0.6
254.0087416,X1-1,X2-2,X3-1,X4-1,X5-6,0.113375213,51,139,50,11.1,11.1,0.65,28,120,29,0.6
254.0087416,X1-1,X2-2,X3-1,X4-1,X5-6,0.113375213,51,139,50,11.1,11.1,0.65,28,120,32,0.6
246.5646462,X1-1,X2-2,X3-1,X4-1,X5-6,0.226608287,73,73,50,18.04,10.54,0.825,41,72,86,0.6
252.7083916,X1-1,X2-2,X3-1,X4-1,X5-6,0.22871432,73,73,50,18.04,10.54,0.825,41,72,86,0.6
304.463673,X1-1,X2-2,X3-2,X4-1,X5-6,0.095521634,73,73,50,18.04,10.54,0.825,41,72,86,0.6
263.4337943,X1-1,X2-2,X3-2,X4-1,X5-6,0.110228618,51,139,50,11.1,11.1,0.65,28,120,29,0.6
263.4337943,X1-1,X2-2,X3-2,X4-1,X5-6,0.110228618,51,139,50,11.1,11.1,0.65,28,120,32,0.6
262.697386,X1-1,X2-2,X3-2,X4-1,X5-6,0.11608923,51,139,50,11.1,11.1,0.65,28,120,29,0.6
262.697386,X1-1,X2-2,X3-2,X4-1,X5-6,0.11608923,51,139,50,11.1,11.1,0.65,28,120,32,0.6
34.61538462,X1-1,X2-2,X3-1,X4-1,X5-7,0.124803948,294,298,150,8.9,11.8,0.826,16,126,24,0.6
262.7426402,X1-1,X2-2,X3-1,X4-1,X5-8,0.078905169,294,298,150,8.9,11.8,0.84,16,126,24,0.6
30.35929572,X1-1,X2-2,X3-1,X4-1,X5-8,0.088904629,139,51,50,16,3.7,1,34,238,29,0.6
269.7225863,X1-1,X2-2,X3-1,X4-1,X5-8,0.129936283,138,102,50,11.1,11.1,0.63,44,120,59,0.6
285.636401,X1-1,X2-2,X3-1,X4-1,X5-8,0.130475672,138,102,50,11.1,11.1,0.63,44,120,59,0.6
284.251231,X1-1,X2-2,X3-1,X4-1,X5-8,0.131072491,138,102,50,11.1,11.1,0.63,44,120,59,0.6
285.8610702,X1-1,X2-2,X3-1,X4-1,X5-8,0.131894406,138,102,50,11.1,11.1,0.63,44,120,59,0.6
286.6696692,X1-1,X2-2,X3-1,X4-1,X5-8,0.132286595,138,102,50,11.1,11.1,0.63,44,120,59,0.6
283.1091691,X1-1,X2-2,X3-1,X4-1,X5-8,0.132840023,138,102,50,11.1,11.1,0.63,44,120,59,0.6
274.3995486,X1-1,X2-2,X3-1,X4-1,X5-8,0.133680222,138,102,50,11.1,11.1,0.63,44,120,59,0.6
